commanders,cardName,url
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Thassa's Oracle,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Underworld Breach,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Arcane Signet,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Command Tower,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Wishclaw Talisman,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Dark Ritual,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Daze,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Demonic Tutor,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Rhystic Study,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Sol Ring,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Grim Tutor,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Dramatic Reversal,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Lotus Petal,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Mana Vault,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Red Elemental Blast,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Badlands,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Timetwister,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Underground Sea,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Wheel of Fortune,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",City of Brass,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Necropotence,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
"['Rograkh, Son of Rohgahh', 'Silas Renn, Seeker Adept']",Pyroblast,https://www.moxfield.com/decks/wIqWzfxjk0e-oybgQAilPg
